Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Ashish,2020-11-11 22:47:02,00:22:47,,Marvel's Agents of S.H.I.E.L.D.: Season 1: End of the Beginning (Episode 16),,Netflix Chrome Linux (Cadmium) HTML 5,00:23:27,Not latest view,US (United States)
Ashish,2020-11-11 22:41:00,00:06:01,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Yes Men (Episode 15),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:32,00:42:32,US (United States)
Ashish,2020-11-11 08:39:46,00:35:59,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Yes Men (Episode 15),,Netflix Chrome Linux (Cadmium) HTML 5,00:36:31,Not latest view,US (United States)
Ashish,2020-11-11 07:43:31,00:41:18,,Marvel's Agents of S.H.I.E.L.D.: Season 1: T.A.H.I.T.I. (Episode 14),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:05,00:42:05,US (United States)
Ashish,2020-11-11 07:24:34,00:18:56,,Marvel's Agents of S.H.I.E.L.D.: Season 1: T.R.A.C.K.S. (Episode 13),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:02,00:42:02,US (United States)
Ashish,2020-11-11 07:23:57,00:00:33,,Marvel's Agents of S.H.I.E.L.D.: Season 1: T.A.H.I.T.I. (Episode 14),,Netflix Chrome Linux (Cadmium) HTML 5,00:01:17,Not latest view,US (United States)
Ashish,2020-11-11 07:22:21,00:01:29,Autoplayed: user action: None; ,Season 1 Trailer 2: The Stranded,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:00,Not latest view,US (United States)
Ashish,2020-11-08 09:14:49,00:27:40,,Marvel's Agents of S.H.I.E.L.D.: Season 1: T.R.A.C.K.S. (Episode 13),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:20,Not latest view,US (United States)
Ashish,2020-11-08 09:14:39,00:00:05,Autoplayed: user action: None; ,The Impossible_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Ashish,2020-11-08 09:08:52,00:05:45,,A Perfect Ending,,Netflix Chrome Linux (Cadmium) HTML 5,01:14:35,01:14:35,US (United States)
Ashish,2020-11-07 23:21:55,00:25:37,,The Haunting of Hill House: Season 1: Open Casket (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:26:32,00:26:32,US (United States)
Ashish,2020-11-07 23:20:38,00:00:53,Autoplayed: user action: None; ,Season 1 Teaser: Paranormal,TEASER_TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:53,00:00:53,US (United States)
Ashish,2020-11-07 23:20:25,00:00:06,Autoplayed: user action: None; ,The Impossible_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:06,Not latest view,US (United States)
Ashish,2020-11-07 23:05:13,00:00:11,Autoplayed: user action: None; ,In the Shadow of the Moon (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:11,00:00:11,US (United States)
Ashish,2020-11-07 23:04:52,00:00:08,Autoplayed: user action: None; ,The Impossible_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:08,Not latest view,US (United States)
Ashish,2020-11-07 17:36:11,00:01:20,Autoplayed: user action: None; ,In the Shadow of the Moon (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:01:20,Not latest view,US (United States)
Ashish,2020-11-07 07:33:53,00:00:49,Autoplayed: user action: None; ,The 4400: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:49,00:00:49,US (United States)
Ashish,2020-11-07 05:22:56,01:51:23,,Battle: Los Angeles,,Netflix Chrome Linux (Cadmium) HTML 5,01:51:23,01:51:23,US (United States)
Ashish,2020-11-07 05:22:43,00:00:10,Autoplayed: user action: None; ,Battle: Los Angeles_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:10,00:00:10,US (United States)
Ashish,2020-11-07 05:22:37,00:00:05,Autoplayed: user action: None; ,Rim of the World (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Ashish,2020-11-07 05:21:57,00:00:34,Autoplayed: user action: None; ,Time Trap (2017)_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:34,00:00:34,US (United States)
Ashish,2020-11-07 05:21:44,00:00:12,Autoplayed: user action: None; ,Code 8_hook_01_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:12,00:00:12,US (United States)
Ashish,2020-11-07 05:21:16,00:00:26,Autoplayed: user action: None; ,Extinction (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:27,00:00:27,US (United States)
Ashish,2020-11-07 05:21:05,00:00:05,Autoplayed: user action: None; ,Midnight Special_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Ashish,2020-11-07 05:20:57,00:00:07,Autoplayed: user action: None; ,I Am Mother (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:07,00:00:07,US (United States)
Ashish,2020-11-07 05:20:16,00:00:22,Autoplayed: user action: None; ,Trailer: Rogue City,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:22,00:00:22,US (United States)
Ashish,2020-11-07 05:19:26,00:00:37,Autoplayed: user action: None; ,Real Steel_hook_03_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:37,00:00:37,US (United States)
Ashish,2020-11-07 05:19:10,00:00:09,Autoplayed: user action: None; ,6 Underground_shortpreview_9x16,PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:09,00:00:09,US (United States)
Ashish,2020-11-07 05:17:59,00:00:32,Autoplayed: user action: None; ,Another Life: Season 1 (Portrait Preview),PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:02,00:00:02,US (United States)
Ashish,2020-11-07 05:17:43,00:00:10,Autoplayed: user action: None; ,Mile 22_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:10,00:00:10,US (United States)
Ashish,2020-11-07 05:17:29,00:00:12,Autoplayed: user action: None; ,Trailer: Operation Christmas Drop,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:12,00:00:12,US (United States)
Ashish,2020-11-07 05:17:07,00:00:06,Autoplayed: user action: None; ,The Vampire Diaries: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Ashish,2020-11-06 23:28:43,00:12:57,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1: T.R.A.C.K.S. (Episode 13),,Netflix Chrome Linux (Cadmium) HTML 5,00:13:40,Not latest view,US (United States)
Ashish,2020-11-06 23:23:54,00:04:48,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Seeds (Episode 12),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:35,00:42:35,US (United States)
Ashish,2020-11-06 01:49:43,00:37:02,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1: Seeds (Episode 12),,Netflix Chrome Linux (Cadmium) HTML 5,00:37:47,Not latest view,US (United States)
Ashish,2020-11-06 01:05:11,00:41:16,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Magical Place (Episode 11),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:08,00:42:08,US (United States)
Ashish,2020-11-06 00:59:20,00:05:50,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Bridge (Episode 10),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:05,00:41:05,US (United States)
Ashish,2020-11-06 00:59:10,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: Paranormal,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Ashish,2020-11-05 06:39:35,00:34:29,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Bridge (Episode 10),,Netflix Chrome Linux (Cadmium) HTML 5,00:35:15,Not latest view,US (United States)
Ashish,2020-11-05 06:19:38,00:19:56,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Repairs (Episode 9),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:32,00:42:32,US (United States)
Ashish,2020-11-04 09:45:36,00:22:24,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Repairs (Episode 9),,Netflix Chrome Linux (Cadmium) HTML 5,00:22:36,Not latest view,US (United States)
Ashish,2020-11-04 09:42:10,00:03:25,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Well (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:44,00:41:44,US (United States)
Ashish,2020-11-04 06:44:44,00:11:58,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Well (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:38:19,Not latest view,US (United States)
Ashish,2020-11-03 09:50:13,00:21:15,,A Perfect Ending,,Netflix Chrome Linux (Cadmium) HTML 5,01:08:50,Not latest view,US (United States)
Ashish,2020-11-03 09:25:36,00:21:55,,A Perfect Ending,,Netflix Chrome Linux (Cadmium) HTML 5,00:47:35,Not latest view,US (United States)
Ashish,2020-11-03 09:24:27,00:00:05,Autoplayed: user action: None; ,The OA: Season 1_shortPreview_9x16,PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Ashish,2020-11-03 08:06:41,00:26:08,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Well (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:26:21,Not latest view,US (United States)
Ashish,2020-11-03 08:01:21,00:05:19,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Hub (Episode 7),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:09,00:42:09,US (United States)
Ashish,2020-11-03 06:03:08,00:36:37,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Hub (Episode 7),,Netflix Chrome Linux (Cadmium) HTML 5,00:36:49,Not latest view,US (United States)
Ashish,2020-11-03 05:49:32,00:13:34,,Marvel's Agents of S.H.I.E.L.D.: Season 1: F.Z.Z.T (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:31,00:42:31,US (United States)
Ashish,2020-11-03 05:48:25,00:01:03,Autoplayed: user action: None; ,Nobody Sleeps in the Woods Tonight (Trailer 2),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:01:03,00:01:03,US (United States)
Ashish,2020-11-02 09:03:57,00:28:46,,Marvel's Agents of S.H.I.E.L.D.: Season 1: F.Z.Z.T (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:28:57,Not latest view,US (United States)
Ashish,2020-11-02 08:19:30,00:41:45,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Girl in the Flower Dress (Episode 5),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:50,00:41:50,US (United States)
Ashish,2020-11-02 07:45:48,00:33:41,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Eye Spy (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:55,00:41:55,US (United States)
Ashish,2020-11-01 22:56:39,00:08:01,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Eye Spy (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:08:14,Not latest view,US (United States)
Ashish,2020-11-01 21:40:57,00:42:25,,Marvel's Agents of S.H.I.E.L.D.: Season 1: The Asset (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:36,00:42:36,US (United States)
Ashish,2020-11-01 21:00:09,00:40:47,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1: 0-8-4 (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:40:59,00:40:59,US (United States)
Ashish,2020-11-01 20:44:11,00:15:57,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Pilot (Episode 1),,Netflix Chrome Linux (Cadmium) HTML 5,00:43:35,00:43:35,US (United States)
Ashish,2020-11-01 10:46:23,00:27:38,,Marvel's Agents of S.H.I.E.L.D.: Season 1: Pilot (Episode 1),,DefaultWidevineAndroidPhone,00:27:38,Not latest view,US (United States)
Ashish,2020-10-30 23:59:06,00:02:07,Autoplayed: user action: None; ,The OA: Part I: Chapter 4: Away (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:02:16,00:02:16,US (United States)
Ashish,2020-10-30 23:24:39,00:34:26,,The OA: Part I: Chapter 3: Champion (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:57:56,00:57:56,US (United States)
Ashish,2020-10-30 09:00:54,00:23:23,,The OA: Part I: Chapter 3: Champion (Episode 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:23:30,Not latest view,US (United States)
Ashish,2020-10-30 08:54:26,00:06:27,,The OA: Part I: Chapter 2: New Colossus (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:55:30,00:55:30,US (United States)
Ashish,2020-10-30 08:53:40,00:00:38,Autoplayed: user action: None; ,Marvel's Agents of S.H.I.E.L.D.: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:00,00:00:00,US (United States)
Ashish,2020-10-30 05:18:23,00:12:20,,The OA: Part I: Chapter 2: New Colossus (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:49:03,Not latest view,US (United States)
Ashish,2020-10-29 22:03:06,00:29:59,,The OA: Part I: Chapter 2: New Colossus (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:45:45,Not latest view,US (United States)
Ashish,2020-10-29 08:50:10,00:15:39,Autoplayed: user action: None; ,The OA: Part I: Chapter 2: New Colossus (Episode 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:15:46,Not latest view,US (United States)
Ashish,2020-10-29 08:07:18,00:42:51,,The OA: Part I: Chapter 1: Homecoming (Episode 1),,Netflix Chrome Linux (Cadmium) HTML 5,01:08:32,01:08:32,US (United States)
Ashish,2020-10-29 02:13:31,00:25:41,,The OA: Part I: Chapter 1: Homecoming (Episode 1),,Netflix Chrome Linux (Cadmium) HTML 5,00:25:41,Not latest view,US (United States)
Ashish,2020-10-29 02:13:02,00:00:27,Autoplayed: user action: None; ,The OA: Part II (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:27,00:00:27,US (United States)
Ashish,2020-10-29 02:12:52,00:00:07,Autoplayed: user action: None; ,Versailles: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:07,00:00:07,US (United States)
Ashish,2020-10-29 02:12:41,00:00:09,Autoplayed: user action: None; ,3% (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:10,00:00:10,US (United States)
Ashish,2020-10-29 02:12:16,00:00:05,Autoplayed: user action: None; ,Black Money Love: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Ashish,2020-10-29 02:12:05,00:00:10,Autoplayed: user action: None; ,Season 2 Teaser: The Gift,TEASER_TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:10,00:00:10,US (United States)
Ashish,2020-10-29 02:11:24,00:00:30,Autoplayed: user action: None; ,The Mysterious,TEASER_TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:31,00:00:31,US (United States)
Ashish,2020-10-29 02:10:58,00:00:09,Autoplayed: user action: None; ,Season 1 Trailer: The Barrier,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:09,00:00:09,US (United States)
Ashish,2020-10-29 02:10:50,00:00:08,Autoplayed: user action: None; ,The Rain: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:08,00:00:08,US (United States)
Ashish,2020-10-29 02:10:28,00:00:12,Autoplayed: user action: None; ,Jericho: Season 1_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:12,00:00:12,US (United States)
Ashish,2020-10-29 02:10:04,00:00:15,Autoplayed: user action: None; ,Omniscient: Season 1 (Trailer),TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:15,00:00:15,US (United States)
Ashish,2020-10-29 02:09:49,00:00:06,Autoplayed: user action: None; ,Colombiana_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Ashish,2020-10-29 02:09:35,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: The Witcher,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Ashish,2020-10-29 02:08:41,00:00:34,Autoplayed: user action: None; ,Glitch: Season 1_shortPreview_9x16,PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:35,00:00:35,US (United States)
Ashish,2020-10-29 02:08:05,00:00:21,Autoplayed: user action: None; ,The OA: Season 1_shortPreview_9x16,PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:21,Not latest view,US (United States)
Ashish,2020-10-29 02:07:47,00:00:17,Autoplayed: user action: None; ,Another Life: Season 1 (Portrait Preview),PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:17,Not latest view,US (United States)
Ashish,2020-10-29 02:07:19,00:00:16,Autoplayed: user action: None; ,Travelers: Season 1_shortPreview_9x16,PREVIEW,Netflix Chrome Linux (Cadmium) HTML 5,00:00:16,00:00:16,US (United States)
Ashish,2020-10-29 02:06:12,00:00:29,Autoplayed: user action: None; ,Trailer: Holidate,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:29,00:00:29,US (United States)
Ashish,2020-10-28 09:05:41,00:48:28,,Travelers: Season 3: Protocol Omega (Episode 10),,Netflix Chrome Linux (Cadmium) HTML 5,00:48:47,00:48:47,US (United States)
Ashish,2020-10-28 08:25:30,00:40:10,,Travelers: Season 3: David (Episode 9),,Netflix Chrome Linux (Cadmium) HTML 5,00:45:22,00:45:22,US (United States)
Ashish,2020-10-28 06:39:08,00:04:57,,Travelers: Season 3: David (Episode 9),,Netflix Chrome Linux (Cadmium) HTML 5,00:05:12,Not latest view,US (United States)
Ashish,2020-10-28 05:58:31,00:40:35,,Travelers: Season 3: Archive (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:24,00:41:24,US (United States)
Ashish,2020-10-28 05:58:10,00:00:17,Autoplayed: user action: None; ,Season 1 Trailer: Blood of Zeus,TRAILER,Netflix Chrome Linux (Cadmium) HTML 5,00:00:17,00:00:17,US (United States)
Ashish,2020-10-27 07:51:05,00:00:32,Autoplayed: user action: None; ,Travelers: Season 3: Archive (Episode 8),,Netflix Chrome Linux (Cadmium) HTML 5,00:00:37,Not latest view,US (United States)
Ashish,2020-10-27 07:03:30,00:47:34,,Travelers: Season 3: Trevor (Episode 7),,Netflix Chrome Linux (Cadmium) HTML 5,00:47:42,00:47:42,US (United States)
Ashish,2020-10-27 06:50:54,00:12:36,,Travelers: Season 3: Philip (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:41:17,00:41:17,US (United States)
Ashish,2020-10-27 05:50:10,00:28:28,,Travelers: Season 3: Philip (Episode 6),,Netflix Chrome Linux (Cadmium) HTML 5,00:28:41,Not latest view,US (United States)
Ashish,2020-10-26 06:14:59,00:42:40,,Travelers: Season 3: Naomi (Episode 5),,Netflix Chrome Linux (Cadmium) HTML 5,00:42:53,00:42:53,US (United States)
Ashish,2020-10-26 06:06:43,00:08:15,,Travelers: Season 3: Perrow (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:43:31,00:43:31,US (United States)
Ashish,2020-10-25 22:15:20,00:35:04,,Travelers: Season 3: Perrow (Episode 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:35:16,Not latest view,US (United States)
Ashish,2020-10-25 22:14:07,00:01:01,Autoplayed: user action: None; ,Clip 2: The Queen's Gambit: Season 1,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:00,00:00:00,US (United States)
